,0,1,2,3,4,5,6
283,602,0,0,0,0,0,0
284,603,10,0,1,3,0,0
285,604,1,2,0,0,0,0
286,605,0,1,1,0,5,1
287,606,0,1,0,0,3,0
288,607,0,0,0,0,0,2
289,608,0,0,0,0,0,0
290,609,2,0,0,0,0,4
291,610,0,0,0,0,0,0
292,611,0,0,0,0,0,0
293,612,0,0,0,0,0,1
294,613,0,0,0,0,0,1
295,614,0,0,0,0,0,0
296,615,0,0,0,0,0,1
297,616,0,0,0,0,0,1
298,617,0,0,0,0,0,1
299,618,2,5,1,0,3,0
300,619,0,0,0,0,0,0
301,620,0,0,0,0,0,1
302,621,0,0,0,0,0,0
303,622,0,0,0,0,0,1
304,623,0,0,0,0,1,1
305,624,0,0,0,0,2,1
306,625,2,0,0,0,0,1
307,626,2,0,0,0,0,2
308,627,0,0,0,0,3,0
309,628,1,0,0,0,0,0
310,629,0,0,0,0,0,0
311,630,0,0,0,0,3,0
312,631,0,0,0,0,0,0
313,632,0,0,0,0,0,0
314,633,0,0,0,0,3,0
315,634,1,0,0,0,0,0
316,635,0,0,0,0,3,0
317,636,4,0,0,0,0,0
318,637,2,0,0,0,0,0
319,638,0,0,0,0,3,0
320,639,0,0,0,0,0,0
321,640,0,0,0,0,3,0
322,641,2,0,0,0,0,4
323,642,2,0,0,0,0,1
324,643,0,0,0,0,0,0
325,644,0,0,0,0,0,0
326,645,0,0,0,0,0,0
327,646,5,0,1,0,0,0
328,647,1,0,0,0,0,3
329,648,4,0,0,0,0,0
330,649,2,0,0,0,5,1
331,650,0,0,0,0,0,0
332,651,0,0,0,0,0,0
333,652,5,0,0,0,0,0
334,653,0,0,0,0,0,0
335,654,1,4,0,0,0,1
336,655,1,0,0,0,0,1
337,656,3,0,0,0,0,1
338,657,0,0,0,0,4,3
339,658,0,0,0,0,0,0
340,659,0,0,0,0,2,3
341,660,0,0,0,0,0,1
342,661,0,0,1,1,0,0
343,662,0,0,0,0,0,1
344,663,0,0,0,0,0,0
345,664,0,0,0,0,0,1
346,665,0,0,2,1,0,0
347,666,0,0,0,0,4,0
348,667,2,0,0,0,0,1
349,668,0,0,0,0,0,2
350,669,1,0,1,0,0,0
351,670,0,2,2,0,4,0
352,671,0,0,0,0,0,0
353,672,0,0,0,0,0,0
354,673,2,0,3,2,0,0
355,674,0,0,0,0,0,0
356,675,0,0,0,0,0,1
357,676,0,0,0,0,0,0
